# reading -> cuneiform codepoint, learned from lines where the codepoint
# count equals the sign count. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
IŠKUR	𒅎	0.999	1115	1116	CUNEIFORM SIGN IM
ur	𒌨	0.998	1103	1105	CUNEIFORM SIGN UR
ba	𒁀	0.999	1098	1099	CUNEIFORM SIGN BA
ḪUR	𒄯	1.000	1088	1088	CUNEIFORM SIGN HI TIMES ASH2
KAL	𒆗	1.000	1079	1079	CUNEIFORM SIGN KAL
GI	𒄀	1.000	1057	1057	CUNEIFORM SIGN GI
GA	𒂵	0.998	1054	1056	CUNEIFORM SIGN GA
TUŠ	𒂉	1.000	1034	1034	CUNEIFORM SIGN DUR2
ḫur	𒄯	0.999	1020	1021	CUNEIFORM SIGN HI TIMES ASH2
DA	𒁕	0.995	1009	1014	CUNEIFORM SIGN DA
DU	𒁺	0.999	1008	1009	CUNEIFORM SIGN DU
GAR	𒃻	0.997	984	987	CUNEIFORM SIGN GAR
KU	𒂉	1.000	968	968	CUNEIFORM SIGN DUR2
ALAM	𒀩	0.999	953	954	CUNEIFORM SIGN ALAN
GUB	𒁺	0.997	925	928	CUNEIFORM SIGN DU
KAŠ	𒁉	1.000	902	902	CUNEIFORM SIGN BI
KASKAL	𒆜	1.000	898	898	CUNEIFORM SIGN KASKAL
il	𒅋	1.000	898	898	CUNEIFORM SIGN IL
ŠE	𒊺	1.000	892	892	CUNEIFORM SIGN SHE
mar	𒈥	0.997	882	885	CUNEIFORM SIGN MAR
𒀹	𒀹	0.998	882	884	CUNEIFORM SIGN ASH ZIDA TENU
LUM	𒈝	1.000	874	874	CUNEIFORM SIGN LUM
IGI	𒅆	0.998	861	863	CUNEIFORM SIGN IGI
RI	𒊑	0.999	838	839	CUNEIFORM SIGN RI
GIM	𒁶	0.999	837	838	CUNEIFORM SIGN DIM2
SISKUR	𒀬	0.999	807	808	CUNEIFORM SIGN AMAR TIMES SHE
SI₂₂	𒄀	0.995	794	798	CUNEIFORM SIGN GI
TÚG	𒌆	0.996	794	797	CUNEIFORM SIGN TUG2
E	𒂊	0.994	790	795	CUNEIFORM SIGN E
UP	𒌒	0.999	778	779	CUNEIFORM SIGN UB
MU	𒈬	0.999	772	773	CUNEIFORM SIGN MU
Ù	𒅇	1.000	755	755	CUNEIFORM SIGN IGI DIB
ZU₉	𒆉	1.000	750	750	CUNEIFORM SIGN KA TIMES UD
TUM	𒌈	0.997	738	740	CUNEIFORM SIGN TUM
DÙ	𒆕	0.999	733	734	CUNEIFORM SIGN KAK
ZI	𒍣	0.993	727	732	CUNEIFORM SIGN ZI
UM	𒌝	1.000	732	732	CUNEIFORM SIGN UM
re	𒊑	0.999	731	732	CUNEIFORM SIGN RI
TUR	𒌉	0.999	722	723	CUNEIFORM SIGN TUR
ḪA	𒄩	0.997	714	716	CUNEIFORM SIGN HA
4	𒐼	0.999	710	711	CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU
GAM	𒃵	1.000	702	702	CUNEIFORM SIGN GAM
ek	𒅅	0.999	700	701	CUNEIFORM SIGN IG
INANNA	𒈹	1.000	701	701	CUNEIFORM SIGN MUSH3
